,順位,アウェイ,年度,節数
437,20,讃岐,2017,第20
438,21,山口,2017,第20
439,22,群馬,2017,第20
440,1,福岡,2017,第21
441,2,湘南,2017,第21
442,3,徳島,2017,第21
443,4,長崎,2017,第21
444,5,東京Ｖ,2017,第21
445,6,名古屋,2017,第21
446,7,水戸,2017,第21
447,8,横浜FC,2017,第21
448,9,大分,2017,第21
449,10,山形,2017,第21
450,11,愛媛,2017,第21
451,12,松本,2017,第21
452,13,千葉,2017,第21
453,14,岡山,2017,第21
454,15,京都,2017,第21
455,16,町田,2017,第21
456,17,金沢,2017,第21
457,18,岐阜,2017,第21
458,19,熊本,2017,第21
459,20,讃岐,2017,第21
460,21,山口,2017,第21
461,22,群馬,2017,第21
462,1,湘南,2017,第22
463,2,福岡,2017,第22
464,3,徳島,2017,第22
465,4,長崎,2017,第22
466,5,東京Ｖ,2017,第22
467,6,水戸,2017,第22
468,7,名古屋,2017,第22
469,8,松本,2017,第22
470,9,千葉,2017,第22
471,10,大分,2017,第22
472,11,横浜FC,2017,第22
473,12,山形,2017,第22
474,13,愛媛,2017,第22
475,14,岡山,2017,第22
476,15,町田,2017,第22
477,16,京都,2017,第22
478,17,金沢,2017,第22
479,18,岐阜,2017,第22
480,19,熊本,2017,第22
481,20,山口,2017,第22
482,21,讃岐,2017,第22
483,22,群馬,2017,第22
484,1,湘南,2017,第23
485,2,福岡,2017,第23
486,3,長崎,2017,第23
487,4,徳島,2017,第23
488,5,名古屋,2017,第23
489,6,横浜FC,2017,第23
490,7,東京Ｖ,2017,第23
491,8,水戸,2017,第23
492,9,大分,2017,第23
493,10,岡山,2017,第23
494,11,松本,2017,第23
495,12,千葉,2017,第23
496,13,町田,2017,第23
497,14,愛媛,2017,第23
498,15,山形,2017,第23
499,16,京都,2017,第23
500,17,金沢,2017,第23
501,18,岐阜,2017,第23
502,19,熊本,2017,第23
503,20,山口,2017,第23
504,21,讃岐,2017,第23
505,22,群馬,2017,第23
506,1,湘南,2017,第24
507,2,福岡,2017,第24
508,3,徳島,2017,第24
509,4,長崎,2017,第24
510,5,横浜FC,2017,第24
511,6,名古屋,2017,第24
512,7,岡山,2017,第24
513,8,松本,2017,第24
514,9,東京Ｖ,2017,第24
515,10,千葉,2017,第24
516,11,水戸,2017,第24
517,12,町田,2017,第24
518,13,大分,2017,第24
519,14,山形,2017,第24
520,15,京都,2017,第24
521,16,愛媛,2017,第24
